,Comment,Category Comment,Target_type
548,year ago today my grandma died of stage lung cancer she never smoked in her life but guess she was just unlucky she was great woman she did charities went across the world was nurse and was great grandmother goodbye lila you wont be forgotten,positive,1
549,the fact that this comment section is still active after years is lit,neutral,0
550,this song will never get old anyone who says otherwise is liar,positive,1
551,his voice is like cute little drawf who is singing from his heart like it,positive,1
552,you can refuse to believe that this song is years old,positive,1
553,dont ask who is watching in cuz we never left,positive,1
554,listening to this during quarantine thinking about the good old days when there was no corona and you would sit in the back of your parents car at night hearing this song 😔,positive,1
555,life was so different when this came out wish that one day passenger listens to my music and we make hit song together god bless everyone better days are coming,positive,1
556,this song was played too much and maked me bored but im still here,neutral,0
557,wish could hug everyone in the comments sections its so depressing and comforting at the same time,positive,1
558,this song makes my heart cry and dont even have heart,positive,1
559,man remember this song playing on the radio when was kid coming home late at night those are nostalgic feelings and memories this song is part of many of my amazing childhood memories,positive,1
560,if youre watching this in youre legend,positive,1
561,this song gives me melancholy from the youtube before when didnt ave controversy gossip or toxcicity what good times,positive,1
562,this is how many people still watching this on quarantine,neutral,0
563,why does this guy not sound like what he looks like at all,negative,2
564,this songs hits different when you just broke up,negative,2
565,lets see how many people are watching this during the quarantine,neutral,0
566,be honest we searched for this,positive,1
567,love how this song was years ago and people are still commenting,neutral,0
568,if youre here in you are true legend,positive,1
569,just think how many people come here everyday,neutral,0
570,with years passed you still come here to watch this legendary creation again and again then my friend you are legend yourself,positive,1
571,that random person who liked my comments may you and your parents live more than years god bless you,positive,1
572,the saddest part of life is when the person who gave you the best memories becomes memory,neutral,0
573,the song reminds me of the old days when my brother and used to sing along and laugh today each of us goes our own way ,neutral,0
574,this song brings me back to the simpler times remember listening to this in the car with my mom singing along to this song with my best friend and using the ipad to play this in my room miss that time when everything was happy and only cried when lost my stuffed animal stay safe stay happy loves corona isnt the only thing killing people nowadays,positive,1
575,idk somehow the songs kinda feel like its about me letting my girl to go to have better life,neutral,0
576,this song will never grow old,positive,1
577,glad they made this song it reminds me my bestfriend hes like brother to me edit he died on car accident days ago,neutral,0
578,dear stranger who ever is reading this may your mother and father live for years,positive,1
579,fun fact nobody cares which year you are watching this,neutral,0
580,miss the old days with this music and avicii and so many other amazing artists not this modern day ixine crap,positive,1
581,whos here from seth everman cause they had this melody stuck in their head,positive,1
582,almost years got completed but this song never get old,positive,1
583,have been looking for this for years now,neutral,0
584,lets see how many legends are listening to this in september,positive,1
585,this is so good,positive,1
586,the people who like this comment before billion views,neutral,0
587,lets see how many people are not from spanish and listening to this song that has awesome beat in coronavirus pandemic,positive,1
588,lets be honest this wasnt in your recommend you searched for it,negative,2
589,all the comments are years ago am the only one late person who came here after year,neutral,0
590,listing to this song remember the old days were corona was just drink,neutral,0
591,years later if your reading this your legend,positive,1
592,who cares about song everyone cares about the bass,neutral,0
593,how many legends are listening to this masterpiece in september,positive,1
594,this should be in the madden playlist,positive,1
595,anyone staying in home and listening song because of coronavirus,neutral,0
596,dont understand single word but the beat is freaking litt,positive,1
597,whos are watching every part of this video very carefully,positive,1
598,intro is longer than my longest relationship,negative,2
599,can still remember when adele broke the internet when she released this silently hope she does it again this year,positive,1
600,this sad song tells about sad thing well that makes sense,positive,1
601,bts army try to break adeles fastest billion views record if that record will be beaten that will be only by adele not by bts,positive,1
602,dont worry adele will come back she just knows the right time to attack thats part of the beauty of it hahah,positive,1
603,great song man dose she have setta pipesthe songs so deepwell written it hits home,positive,1
604,if youre still listening to this song during corona youre cool,positive,1
605,aahhhhh im glad you are back,positive,1
606,when humans finally contact aliens this song needs to be played,neutral,0
607,years later if you listening this song you are legend,positive,1
608,awesome song,positive,1
609,no im not here after seeing adeles transformation am here to hear once again the beautiful voice of this woman whatever body she has will always stay by her side for her talent and personality,positive,1
610,who else just decided that today is for old songs,neutral,0
611,we all know the great singer she is but can we talk about how adeles beauty is underrated,negative,2
612,the introduction is long but her voice is worth every second of it,positive,1
613,anyone in the worst year ever but this song made my day,positive,1
614,adeles the type of singer to make you miss the relationship you never had,positive,1
615,just want to check how many people come here every day,neutral,0
616,anyone else coming back to old songs at night,neutral,0
617,this girl is so talented and good shes the best,positive,1
618,whos here after adele breaking the internet because of her glow up,neutral,0
619,cant believe its gonna be years since hello was released adele its time to come back,neutral,0
620,dont lie this wasnt in your recommendation you searched for it,neutral,0
621,mom miss you so much damn covid for taking you away from us talking to you from this side just isnt the same love you and think about you all the time dee,positive,1
622,pray whoever is reading this becomes successful,positive,1
623,nobody can ever compare to how legendary adele was in our childhood,positive,1
624,liking this ok buying her merch is just being simp,neutral,0
625,word on the street says the person on the other side hasnt answered up to this day,neutral,0
626,why so much dislikes this should have none of those dislikes,positive,1
627,amazingly beautiful lady she looks just like lady di,positive,1
628,when you having nothing to do cause of the corona virus so you just spam yourself with old throw back songs ,neutral,0
629,its very interesting how little she uses that piano overall she just lets her voice carry and it works perfectly,positive,1
630,still so good,positive,1
631,tried to sing the hello part broke window,neutral,0
632,listening to this song feels like coming back near the past because this is my favorite song since was young,positive,1
633,love her break up songs shes such poet,positive,1
634,hey person in the comments have nice day,positive,1
635,this reminds me of people who thought were my friends who betrayed me it hurt me lot cant even tell all the things thought of doing to myself just wish could be left alone wish people could just stop making fun of me,neutral,0
636,just watched gay alien dance for and half minutes,neutral,0
637,omg why is here woman yells yelling uhhh is completely stupid lol,negative,2
638,what am doing with my life,neutral,0
639,amazing,positive,1
640,this is why nasa has not sent anyone to mars,neutral,0
641,drowning pool table,neutral,0
642,imagine if you went to space and just saw this,neutral,0
643,there isnt single outfit in this that dont like,positive,1
644,no matter how many years have passed my sister still insists that taylor has long list of starbucks lovers stubborn girl,positive,1
645,love this so so much,positive,1
646,you can refuse to believe that this song is almost years old,neutral,0
647,cant explain how much love this ah,positive,1
648,taylor is not the artist of the decade she is the artist of the century,positive,1
649,im now satisfied for knowing that this is actually single by selena gomez,negative,2
650,imagine how many people come here every day,neutral,0
651,person who like this will be billionaire,positive,1
652,wanna go down taylor swift rabbithole and pretend teatimes never gonna come,neutral,0
653,hope taylor would drop an album that has the same vibe as,neutral,0
654,its quarantine and its midnight and im having taylor karaoke marathon lol,neutral,0
655,only hades hold three wolf with his hands by tieing them  controls them,neutral,0
656,never cheat girlfriend theyll turn to crazy psychopath,negative,2
657,am here to support taylor swift she is strong woman true great artist,positive,1
658,whos here just listening and doesnt care what year it is,positive,1
659,whos having taylor swift marathon after folklore,neutral,0
660,know taylor is reading the comments,neutral,0
661,its been so many years meanwhile im here telling my friends taylor swift is better than blackpink alone,positive,1
662,my favourite song,positive,1
663,who heard ex lovers as starbucks lover,neutral,0
664,if you see this comment you will succeed in live,positive,1
665,happy new year everyone,positive,1
666,copied techoblade smh am disliking,negative,2
667,blank space being single is the best life anyone can have,positive,1
668,pray anyone reading this will become successful in the future,positive,1
669,why is this song in my head for years,neutral,0
670,there goes the maddest woman this town has ever seen she had marvelous time ruining everything,positive,1
671,when she ment flames she actually meant flams,positive,1
672,may know why dont get at least like for my comments,neutral,0
673,am leaving this comment her for the future generations,neutral,0
674,dont worry youre not the only one who listens to this song in quarantine,neutral,0
675,this is the best football song that has ever been made,positive,1
676,pray who ever read this become successful in life,positive,1
677,lets be honest you obviously searched the song for nostalgia,neutral,0
678,lets see how many people watching this during quarantine,neutral,0
679,this song wont die even after or years everyone would remember this song because its felling not song,positive,1
680,only legends will be listening to this song in september,positive,1
681,even after years this song is evergreen,positive,1
682,pray who ever reads this comment becomes successful,positive,1
683,its crazy how people are still here day ago,positive,1
684,swear this song ruled the world for while,positive,1
685,lets see how many people still watching in september,neutral,0
686,only those people find my comment who lives in earth,neutral,0
687,lets see how many peaple watching this wolrd cup,neutral,0
688,this and wavin flag are the best world cup songs no debate,positive,1
689,this isnt just song its presenting your country,positive,1
690,if you see this comment in replay,neutral,0
691,this is the best world cup song ever made in history,positive,1
692,be honest shakira technically ruled the world for time football shakira world cup emotions but first of all no racism,positive,1
693,even after decade shakira still has that ability to unite people,positive,1
694,this is the song that united the whole world for period of time,positive,1
695,god this was the song that actually got me hyped for the world cup and didnt like soccer at the time,positive,1
696,like how the comments are still alive after years,positive,1
697,shakira is basically the voice of the fifa world cup,positive,1
698,when this song came out didnt have an internet connection at home and had to borrow it from friend on usb and it only seems like yesterday jose is right dele alli listen to him time flies,neutral,0
699,cant say word how someone can be that talented the queen of harts millions of time watched but still want to,positive,1
700,how many non spanish people love this song,positive,1
701,when you recently gave birth to two children but you look better than teenager,neutral,0
702,who is here after superbowl of,neutral,0
703,hello am here to confess that shakira has been calling me every night and wants to divorce pique and come to me,negative,2
704,random people who like this will become millionaire someday,positive,1
705,my girlfriend said this song sucked now we arent closer,negative,2
706,the person who like the comment is before the ending of the world,neutral,0
707,when it was fashionable everything was better,positive,1
708,lets just hope that this jem will be untouched by tiktok etc its shame how they ruin songs listened to this song back in and still do it now,neutral,0
709,nostalgia is the best and worst feeling ever,neutral,0
710,man this song was being played everywhere gosh how time flies,positive,1
711,thought that this was the original song thought this for my hole life and today found out this is not the original music video lmao,negative,2
712,this song brings back the memories when we used to listen to it everyday,positive,1
713,remember being sophomore in high school when this came out now im sophomore in college,neutral,0
714,know this song is only years old but it feels so old,neutral,0
715,lot of things happened in the last three years,neutral,0
716,the fact that this comment section is still active after all these years is epic,neutral,0
717,this song is actually one of the greatest thing happened to this planet,positive,1
718,once we listen to one throwback song we go through whole carousel of them,positive,1
719,too much memories when listening to this song,positive,1
720,this video is seriously beautiful yall killed it,positive,1
721,ed sheeran is type of singer who sets you in relationship which you have never been in,positive,1
722,this song made me remember about my girlfriend when we used to be happy,positive,1
723,everyone in the comments literally making up stories for attention,negative,2
724,playing this while youre at the beach dancing with your girlfriend under the moon,positive,1
725,romantic songs are very healing especially for singles,positive,1
726,when corona wasnt thing life was just straight beautiful,positive,1
727,dear stranger who ever reads this may your parents live for more than years,positive,1
728,wish had girlfriend to sing it to her with my ugly voice haha love test,positive,1
729,love this song,positive,1
730,created an imaginary girlfriend and broke up with her just to feel this song,positive,1
731,just imagine that charlie and mirella in relationship in the real life,neutral,0
732,am here everyday that now byhearted the whole lyrics wish it was this easy to learn physics derivation,positive,1
733,all the people who disliked were crying from how good this song is so they accidentally clicked dislike,positive,1
734,anyone here after they heard the jungkook bts remix,neutral,0
735,the real crime here is them not charging their phones before they sleep,neutral,0
736,im driving and im playing this song cuz my girl broke up with me,neutral,0
737,years later if you watch this song youre officially legend,positive,1
738,the fact that the scenario shown in this song is reality breaks my heart,positive,1
739,will be here always because luv my mum,positive,1
740,if youre here in it means you have great music taste,positive,1
741,if had voice like anne marie swear will never stop singing,positive,1
742,its funny how this has over billion views yet clean bandit only just hit million subs,positive,1
743,she is not just singing she is telling us story,positive,1
744,miss my middle school days now im at th grade making long essays lol,neutral,0
745,the sacrifices mothers make for their child to have life better than theirs,neutral,0
746,dedicated to all single mums true masterpiece clearly representation of mothers love,positive,1
747,so basically quarantine has bought everyone to old legendary songs,positive,1
748,remember listening to this like years ago the old days,neutral,0
749,who just randomly came to this song in august,neutral,0
750,lets be honest when this song was released life was way simpler,positive,1
751,not trying to reduce how hard being single mum but please dont forget us single dads too,neutral,0
752,ive seen so many people using this song in stories without knowing the meaning,negative,2
753,worth billion wiew song is rare these days,positive,1
754,what the girl says to her son is what my mom says to me,neutral,0
755,she isnt shaming shes just telling people that their perfect no matter what also this song is good,positive,1
756,its crazy how we are listening to these songs again as different people,positive,1
757,skinny and thick girls are both pretty either way,positive,1
758,why is meghan so underrated nowadays,negative,2
759,imagine reading this comment then liking it years later that would be cool think,positive,1
760,are we not even to talk about how she isnt fat,positive,1
761,why is no one talking about how this dude just slayed this entire video,neutral,0
762,this song reminds me of when life was simple just kid living life,positive,1
763,when in was asked my mum what all about that bass means she said that she was really low singer lol,negative,2
764,cant we embrace all body types though fat shaming and skinny shaming have equal effect on self esteem,positive,1
765,never realized how easy it is to notice the lip sync on this song,negative,2
766,the dancing guy is legendary and ive liked him since was little child lol,positive,1
767,this song is for and against body shaming at the same time,positive,1
768,moment of silence for those people who still cant found this masterpiece,positive,1
769,no matter how many times youve watched this rihanna gets hotter,positive,1
770,feel like this music is best for model walks,positive,1
771,rihanna was preparing for fenty beauty and was not having all that desert shit for the music video hence why we have this video,positive,1
772,im still cannot know why am comback here in,neutral,0
773,fifth harmony predicted the corona virus pandemic,neutral,0
774,the random people who will like this will become millionaires in the future,positive,1
775,boos body is so oily that could make french fries on his chest doe,neutral,0
776,camila have high voice,positive,1
777,who knew this song would be pandemic soundtrack,positive,1
778,everybody wears short and hot outfits and then theres camilla wearing an all day outifit hahaha omg lmao,neutral,0
779,after seeing normanis body getting my lazy butt up and going to the gym tomorrow and im gonna put in work work workwork,neutral,0
780,no ones gonna talk about the fact that this has over billion views,neutral,0
781,here is camila cabello working,neutral,0
782,my bisexuality is intense in this video,neutral,0
783,this song still better years after years and even more in this pandemic situation,positive,1
784,people can refuse to believe that this song is years old,neutral,0
785,this song hit different in quarantine,positive,1
786,still cant understand why did the fifth harmony girls are not together especially camila  normani,negative,2
787,lets see how many people watch this during quarrantine,neutral,0
788,only camila,neutral,0
789,perfect anthem for with corona virus everywhere,positive,1
790,is anybody watching this during work from home,neutral,0
791,coronavirus just saved yalls lives now he really dont gotta go to work,neutral,0
792,ok so fifth harmony were knowing about the pandemic this song was years ahead of its time back then they were making us aware of work from home,neutral,0
793,oh so this is why construction is never finished on time,negative,2
794,look watch years later people will read these comments and wont know what quarantine was,negative,2
795,yes am working in home due to covid shit,negative,2
796,came hare for camila cabelo,positive,1
797,awe miss fifth harmonyyy,positive,1
798,this should be the official corona virus theme song regarding what to do when working ill,positive,1
799,love how none of these comments are from the year it was released,positive,1
800,no wonder it took long time to finish building my house,neutral,0
801,its been over years and wonder if they ever finished their job,neutral,0
802,lets be honest justin bieber owned the world for few days when this song was released,positive,1
803,having justin moment,positive,1
804,lets be honest justin bieber owned the world when his song was released,positive,1
805,after years just noticed that drake was in this video,neutral,0
806,theres comments if you find mine then you are legend,positive,1
807,whos watching in but is now not justin bieber fan,negative,2
808,we made history,neutral,0
809,im here after seeing disliked of sadak trailar anyone else,neutral,0
810,dont no why this song has been hated so much there are nostalgia feeling cool clip and music,positive,1
811,how many think he made this song with wrong girl he looks like he is brother to her,negative,2
812,dont know why this song got so many dislikes can anyone tell me,neutral,0
813,for those who were just born welcome justin is already taken now lmao,neutral,0
814,just came to see how many dislikes he has on the video mil,negative,2
815,the likes are the girls who couldnt be the girl in the video,negative,2
816,shall go to church to purify my god damn eyes and ears,negative,2
817,many people are here to compare babys dislike and sadak dislike,negative,2
818,dont worry justin sadak trailer will overtake ur dislike record in few days,positive,1
819,years later if youre still here youre legend,positive,1
820,if was blind then id probably think it was girl singing this,neutral,0
821,everyone searching all songs so keep watch song and making them new,neutral,0
822,song that we once hated has now become nostalgic memory time flies by,positive,1
823,literally here just to check the dislikes again,negative,2
824,this was beautifully creepy,neutral,0
825,the choreographer should be listed,neutral,0
826,the girl in this music video is soo underrated like the way she danced tho was just complete talent,negative,2
827,this proves that humans are more flexible then you think,neutral,0
828,remember watching this as kid and wondering why maddie was naked,neutral,0
829,if sang like sia would never shut up,positive,1
830,this is what happens when your parents leave at home without wifi,neutral,0
831,this little girls parents and teachers must be the most proud people in the world know shit about ballet dancing but she is amazing,positive,1
832,have anyone realise that this little girl is from the show abby lee,neutral,0
833,maddie was so mature for her age sia voice is so younger than her age mix them together and have mona lisa masterpiece,positive,1
834,who when this song first came out thought she was naked,neutral,0
835,this is what can happen when you start dance lessons at years old,neutral,0
836,my sister used to be scared of this video when she was like,neutral,0
837,the song spoiled rich kid sings about when she messes up the house,neutral,0
838,cant afford chandelier simple lamp shade isnt the same,neutral,0
839,this is literally the only song that am not too busy to watch,positive,1
840,here in quarantine just remembering my childhood music,positive,1
841,when you were kid playing make believe while being home alone,neutral,0
842,the fact that there are still comments from minutes ago is so heartwarming,positive,1
843,for second thought she was naked,negative,2
844,only people who didnt come from tiktok can like this comment,neutral,0
845,well money is not everything but am really feeling guilty to have watched this awesome performance for free no matter how much we appreciate it will never be enough hats off to sia maddie ziegle,positive,1
846,whenever have heard this song thought the hard past,positive,1
847,she is so special,positive,1
848,her act is priceless,positive,1
849,the fact that this has less likes than bad guy scares me,negative,2
850,who else is just listening to old songs due to quarentine,neutral,0
851,the symbolism in this song is beyond words this song makes you realize that we all have demons in our lives some more than others but we all have them,positive,1
852,sias voice really evolved into something powerful and unique since her zero days,positive,1
853,shes so hot and im obsessed with her voice,positive,1
854,man youtube is the closest thing weve got to time machine,neutral,0
855,dua lipa is everything,positive,1
856,still hit,positive,1
857,everything complete is equal to and surpasses everything complete everything agreement,positive,1
858,need dua lipa and anne marie together in song,neutral,0
859,am so poor that cant get hot girls like this,negative,2
860,her friends are trying to help her because of their experiences,positive,1
861,whoever is watching this in september youre gonna be blessed,positive,1
862,one,neutral,0
863,im searching for rhis song after found no music version,positive,1
864,lets be honest this wasnt in your recommendation you intentionally searched for it,neutral,0
865,women supporting women im in,positive,1
866,ah yes the music that hear when im with my mom in the clothing store,positive,1
867,why do keep hearing someone joining sound effects from discord,positive,1
868,am not that english comment you searching for but anyways have nice day,positive,1
869,hope people realize how good this song really is,positive,1
870,after years still if you are watching this then you are legend,positive,1
871,this was not in your recommend you searched it,neutral,0
872,this song has part of the lyrics that gives me chills and makes me sad,positive,1
873,searched romantic songs this song is recommended,positive,1
874,throwback when we were to innocent to understand shades of gray,neutral,0
875,searched romantic songs this song recommended me,positive,1
876,this song makes you feel in love even if youre not,positive,1
877,was crying because miss my friends during this quarantine,positive,1
878,only people who dont come from tiktok can like this comment,negative,2
879,just got suddenly remembered and searched for it,positive,1
880,just need everything to stop hate my life it hurts lot,negative,2
881,the love of my life my best friend just sent this song to me,positive,1
882,pray whoever reads this becomes successful one day,positive,1
883,years after if youre watching this youre legend,positive,1
884,guessed searched for this song it never pops up in recommended,positive,1
885,this is like one of ellies best songs she is very talented,positive,1
886,five years ago my future looked different than today,neutral,0
887,im not here because of quarantine im here because this song is the colour of my blood,positive,1
888,okay knew saw them somewhere this is from fifty shades of grey,positive,1
889,fifty shades of grey is thousand times better than days,positive,1
890,who else is listening to this but is single,positive,1
891,theres person who listen this song with you in march is me,positive,1
892,yes,neutral,0
893,everyones gangster until they know the meaning of the song,negative,2
894,this girl is so lucky,positive,1
895,hailey probably hates this music video for the action in this,negative,2
896,while theres the coronavirus we listen to this song,neutral,0
897,random people who like this will one day see justin bieber live,neutral,0
898,wanna see my comment in year time just to see if im maybe more relevant by than,positive,1
899,yummy is nothing compared to this song,positive,1
900,the whole time im just thinking what his wife thinks about this,neutral,0
901,this is when everyone starting respecting bieber,positive,1
902,like if you watch this in corona time,neutral,0
903,who is here after yummy remembering epic songs of him,positive,1
904,lets see how many people watching this song during quarantine,neutral,0
905,the one who likes this comment will be millionaire in the future,positive,1
906,just imagine how many people come here every second,neutral,0
907,think as girlfriend would be really mad that he made me go through that,negative,2
908,just imagine how much people come here everyday,neutral,0
909,think this song talks about justin and selenas relationship with illuminati,negative,2
910,this was such better comeback song than yummy damn,positive,1
911,who just randomly came to this song in september,neutral,0
912,sadly we lost that era miss so much,positive,1
913,congratulation you found an english comment,positive,1
914,this video than song billion views crossing,positive,1
915,ive been listening to this song over and over that its not healthy,negative,2
916,dont worry you are not the only one listening to this in september,neutral,0
917,eminem is going to be the first rapper to reach one billion views on youtube lol still breaking records,positive,1
918,can never listen to this enough love it,positive,1
919,this song is years old we never left we just loved this song for years,positive,1
920,who agrees they cant believe that there are kids that are younger then this song,neutral,0
921,was so sad to lose eminem to trump derangement syndrome,negative,2
922,feel sorry for people who grew up on gucci gang,positive,1
923,nostalgia,positive,1
924,cant believe this was made before rap god,positive,1
925,eminem and rihanna collab is the only option to save the world,positive,1
926,random people who like this will be millionaire some day,positive,1
927,eminem still stays as the greatest rapper of all time,positive,1
928,lets be honest this song didnt come up in our recommendations we searched for it,neutral,0
929,more than million views and comments and still counting after years,neutral,0
930,this song remind me to my chillhood so sad because time has passed,positive,1
931,it took so many years for me to realize that was megan fox,neutral,0
932,feeling weird cause after decade just discovered the girl in the video is megan fox,negative,2
933,megan fox is just as beautiful now as she was years ago,positive,1
934,miss how easy life was when this came out,neutral,0
935,pray who ever reads this you will meet eminem,positive,1
936,this song hits so strong after all these years that have passed,positive,1
937,my girlfriend said this song sucked now love the way she lie,positive,1
938,imagine if rihanna and eminem collaborated once again just imagine,neutral,0
939,the fact that my earliest memory was in when was years old makes me realize how fast time flies im and th grade,neutral,0
940,take me back when rapping was meaningful,positive,1
941,god life was easy then takes me back to sunny days with friends in the park,positive,1
942,eminem is rapper whose fans cant sing with him at concerts,positive,1
943,there is reason why there is billion views and the likes dominate dislikes,negative,2
944,everyones here cause no one can stop listening this song,positive,1
945,eminem is the best rapper,positive,1
946,eminem  rihanna still better combo than peanut butter and jelly,positive,1
947,the fact is this comment section is still active after years lit,neutral,0
948,the nostalgia is gonna make me cry,positive,1
949,eminem rap is more faster than my internet connection,positive,1
950,who came here just to hear the legend eminem,neutral,0
951,that guy has such cute nose,positive,1
952,amazing that there are comments right minutes ago,positive,1
953,im glad eminem was the first rapper to hit billion,positive,1
954,lets see who is here in september,neutral,0
955,talk about trendy beats and song like this song more than despacito,positive,1
956,almost years later if you watch this youre officially legend,positive,1
957,this songs have many latin fans like if youre not latin,neutral,0
958,the greatest achievement this quarantine is listen the luis fonsi songs,positive,1
959,man youtube is the thing closest weve got to time machine,neutral,0
960,at the end of the world and listening to this masterpiece,positive,1
961,who is listening to this song in left like,neutral,0
962,guess can sing this song only when im home alone lol,positive,1
963,have not listen to this song for long time but finally found it,positive,1
964,guess im the second guy here at september,neutral,0
965,excellent song luis and demi very good duo,positive,1
966,that random person who liked my comments may you and your parents live more than years,positive,1
967,when she started speaking english thought was understanding spanish,positive,1
968,who hear this song in free time for relaxing his mood and keep him always fresh,positive,1
969,latin song make me feel relax you can make dance with it,positive,1
970,am the only one who is going around good old music like if you are too,positive,1
971,the fact that this song is years old astonishes me it honest feels like yesterday,neutral,0
972,rip legend,neutral,0
973,is no one going to talk about the fact that she left that little girl home alone sleeping like bruh,negative,2
974,this song is almost like channel trailer basically saying everyone is welcome,positive,1
975,rest in peace legend,positive,1
976,hi tim its youll be this year and im still wishing you happy birthday youre sorely missed,positive,1
977,lve seen that little girls picture before just dont recall where exactly,neutral,0
978,the best dj ever miss you so much your music is like water to me cant live without it,positive,1
979,does the girl have an instagram account id like to follow her,neutral,0
980,todays is aviciis birthday happy birthday we miss,positive,1
981,this song has to much meaning that we have be inside to understand what the lyrics mean,positive,1
982,the dislikes are the people who disliked aviciis death,neutral,0
983,with quarantine this song has aged like fine wine,neutral,0
984,most relatable song for everyone in this world during the pandemic,positive,1
985,still there,positive,1
986,funny how this comment section is alive after almost whole decade,neutral,0
987,this is lazy song but this song actually gives me energy,positive,1
988,im gonna tell my kids that this clip was made during the quarantine,positive,1
989,this song just sums up what we are doing in this quarantine,positive,1
990,this song is literally describing everyones life right now,positive,1
991,imagine we go extinct and this is the only proof we existed,positive,1
992,no matter how old this song gets it still jam,positive,1
993,never thought bruno mars would predict the future,positive,1
994,bruno mars isnt the second michael jackson hes the first bruno mars,positive,1
995,me laying in my bed listen to this song,neutral,0
996,the start hit me like bag of rocks,positive,1
997,literally havent vibed to this song since it first came out and was dancing to it with my friends,positive,1
998,oh hey there everyone that just randomly decided to listen to this song years later,positive,1
999,quarantine made old songs popular again,positive,1
1000,when have homework and bored,neutral,0
1001,wow time does fly was freshman in high school when this came out now im,neutral,0
1002,kids who have no school due to coronavirus can relate to this song,positive,1
1003,all the dislikes are from the people whose girlfriends broke up with them because they couldnt treat them better than shawn,neutral,0
1004,listen to this song almost every day this is going to be my permanent favourite song,positive,1
1005,everybody is gangster until they know the meaning of this song,positive,1
1006,back in the days when the corona virus didnt exist good time,neutral,0
1007,imagine choosing that wimp over shawn,neutral,0
1008,literally cant stop listening to this song always replay it whenever the song ends love all the songs that shawn mendes sang till now,positive,1
1009,if you here in that means you have musical taste,positive,1
1010,basically the story of every simp willing to give everything to their queen but get rejected,neutral,0
1011,im screaming everything is so on point,positive,1
1012,when all the smart people on class grouped up on the final project,positive,1
1013,omg selena gomez spanish part was soo gorgeous,positive,1
1014,taki taki is the only word in this song that can speak,neutral,0
1015,selenas part just hit different,positive,1
1016,the only one who doesnt understand most of lyrics but listen multiple times normal or not,neutral,0
1017,this song never gets old,positive,1
1018,in my opinion selena killed more when she started speaking in spanish,positive,1
1019,years later if you still watching this youre officially legend,positive,1
1020,dont kbow the lyrics but the beat is the best one have heard,positive,1
1021,it took me an hour searching for this song,neutral,0
1022,the like button proves that there are lots of people who speak english,neutral,0
1023,why are latin songs so addicted,positive,1
1024,this is how people around the world will act when corona ends,neutral,0
1025,everyone was shuffling when this song came out,positive,1
1026,this is gonna be the streets on new years when is gone,positive,1
1027,back when guys would wear skinny jeans that looked like they were meant for girls,neutral,0
1028,you are done with school and this song is playing no stress no worries and no pandemic is going on you simply sit back relax and enjoy the song,positive,1
1029,this song made everyone in grade school hyped even if they were having the worst day,positive,1
1030,the people shuffiling and spreading it is how corona is spreading,neutral,0
1031,mybe after the covid the world will start dance like that,positive,1
1032,this song was all over everywhere back in the day,positive,1
1033,this is gonna be everyone after the corona virus pandemic is over,positive,1
1034,watch theyre gonna predict october,neutral,0
1035,kids nowadays would never understand the impact this songs had on us when it first came out,positive,1
1036,this brings back serious memories of being like sitting on the floor and listening to this song on the tv,neutral,0
1037,who here remembers the good memories and then think of this song this is still amazing years later and will always be legendary,positive,1
1038,after the pandemic this song would be the song of century lol,positive,1
1039,legend says they are still shuffling till this day,positive,1
1040,youtube is the closest thing we will ever get to time machine,neutral,0
1041,so this is how the covid vaccine will be distributed,neutral,0
1042,they made the best song of the decade and just disappeared,positive,1
1043,these guys straight up made hits songs and then dipped,positive,1
1044,years later still know all the lyrics anyone else or just me,positive,1
1045,some legend says that they still shuffelin til this day non stop in the street,positive,1
1046,years later finally understand the days later reference,positive,1
1047,kids born in wouldnt understand the nostalgia of this song,neutral,0
1048,this is one of the biggest nostalgia tracks of the century,positive,1
1049,billion views and years later this is still hit,positive,1
1050,this song ruled the world for good while,positive,1
1051,legends says that they still shufling,positive,1
1052,reminds me of that key and peele skit,positive,1
1053,you know its good party when you see jesus in it,positive,1
1054,remember being little and just be jamming out to this song in my room,positive,1
1055,did anyone notice lauren didnt get her own part,neutral,0
1056,honestly cant believe nobody is talking about how absolutely gorgeous camila looks in that suit like dann girl,positive,1
1057,your enjoying to this song without realizing lauren dont have any lines here,neutral,0
1058,in my humble opinion laurens part is without doubt the best,positive,1
1059,really dont know why im waching this at good memories,positive,1
1060,it took me years to realise that camila isnt wearing tie its her skin,neutral,0
1061,anyone else in listening this song so beautiful that touch deeply the heart of people,neutral,0
1062,people am not fifth harmony fan im mixers just visiting and love the battle salute vs worth it,positive,1
1063,when this song came out was and absolutely secure that dinah and beyonce were the same person,neutral,0
1064,random people who like this become millionaire someday,positive,1
1065,this song will never gets old,positive,1
1066,deny the fact that this song is year old,neutral,0
1067,think laurens part is the best and she nailed it anyway,positive,1
1068,you barely hear lauren in the song tbh,negative,2
1069,oh my god havana camila cabello is so good,positive,1
1070,why they are try so hard to look sexy exepct camila,negative,2
1071,really wanna see hope reacting to this song,neutral,0
1072,think im the only one whos searching for subtitles,neutral,0
1073,im from pakistan dont understand the words but the music is awesome,positive,1
1074,she is an actress besides singer love the videos,positive,1
1075,the people who dislike this song dont have adolescense,positive,1
1076,cant believe almost forgot about this song,neutral,0
1077,havent listened to this song in years and still remember the lyrics,positive,1
1078,im gonna ask for marriage to my girlfriend and his father hates me wish me luck,neutral,0
