,Comment,Category Comment
584,lets see how many legends are listening to this in september,positive
585,this is so good,positive
586,the people who like this comment before billion views,neutral
587,lets see how many people are not from spanish and listening to this song that has awesome beat in coronavirus pandemic,positive
588,lets be honest this wasnt in your recommend you searched for it,negative
589,all the comments are years ago am the only one late person who came here after year,neutral
590,listing to this song remember the old days were corona was just drink,neutral
591,years later if your reading this your legend,positive
592,who cares about song everyone cares about the bass,neutral
593,how many legends are listening to this masterpiece in september,positive
594,this should be in the madden playlist,positive
595,anyone staying in home and listening song because of coronavirus,neutral
596,dont understand single word but the beat is freaking litt,positive
597,whos are watching every part of this video very carefully,positive
598,intro is longer than my longest relationship,negative
599,can still remember when adele broke the internet when she released this silently hope she does it again this year,positive
600,this sad song tells about sad thing well that makes sense,positive
601,bts army try to break adeles fastest billion views record if that record will be beaten that will be only by adele not by bts,positive
602,dont worry adele will come back she just knows the right time to attack thats part of the beauty of it hahah,positive
603,great song man dose she have setta pipesthe songs so deepwell written it hits home,positive
604,if youre still listening to this song during corona youre cool,positive
605,aahhhhh im glad you are back,positive
606,when humans finally contact aliens this song needs to be played,neutral
607,years later if you listening this song you are legend,positive
608,awesome song,positive
609,no im not here after seeing adeles transformation am here to hear once again the beautiful voice of this woman whatever body she has will always stay by her side for her talent and personality,positive
610,who else just decided that today is for old songs,neutral
611,we all know the great singer she is but can we talk about how adeles beauty is underrated,negative
612,the introduction is long but her voice is worth every second of it,positive
613,anyone in the worst year ever but this song made my day,positive
614,adeles the type of singer to make you miss the relationship you never had,positive
615,just want to check how many people come here every day,neutral
616,anyone else coming back to old songs at night,neutral
617,this girl is so talented and good shes the best,positive
618,whos here after adele breaking the internet because of her glow up,neutral
619,cant believe its gonna be years since hello was released adele its time to come back,neutral
620,dont lie this wasnt in your recommendation you searched for it,neutral
621,mom miss you so much damn covid for taking you away from us talking to you from this side just isnt the same love you and think about you all the time dee,positive
622,pray whoever is reading this becomes successful,positive
623,nobody can ever compare to how legendary adele was in our childhood,positive
624,liking this ok buying her merch is just being simp,neutral
625,word on the street says the person on the other side hasnt answered up to this day,neutral
626,why so much dislikes this should have none of those dislikes,positive
627,amazingly beautiful lady she looks just like lady di,positive
628,when you having nothing to do cause of the corona virus so you just spam yourself with old throw back songs ,neutral
629,its very interesting how little she uses that piano overall she just lets her voice carry and it works perfectly,positive
630,still so good,positive
631,tried to sing the hello part broke window,neutral
632,listening to this song feels like coming back near the past because this is my favorite song since was young,positive
633,love her break up songs shes such poet,positive
634,hey person in the comments have nice day,positive
635,this reminds me of people who thought were my friends who betrayed me it hurt me lot cant even tell all the things thought of doing to myself just wish could be left alone wish people could just stop making fun of me,neutral
636,just watched gay alien dance for and half minutes,neutral
637,omg why is here woman yells yelling uhhh is completely stupid lol,negative
638,what am doing with my life,neutral
639,amazing,positive
640,this is why nasa has not sent anyone to mars,neutral
641,drowning pool table,neutral
642,imagine if you went to space and just saw this,neutral
643,there isnt single outfit in this that dont like,positive
644,no matter how many years have passed my sister still insists that taylor has long list of starbucks lovers stubborn girl,positive
645,love this so so much,positive
646,you can refuse to believe that this song is almost years old,neutral
647,cant explain how much love this ah,positive
648,taylor is not the artist of the decade she is the artist of the century,positive
649,im now satisfied for knowing that this is actually single by selena gomez,negative
650,imagine how many people come here every day,neutral
651,person who like this will be billionaire,positive
652,wanna go down taylor swift rabbithole and pretend teatimes never gonna come,neutral
653,hope taylor would drop an album that has the same vibe as,neutral
654,its quarantine and its midnight and im having taylor karaoke marathon lol,neutral
655,only hades hold three wolf with his hands by tieing them  controls them,neutral
656,never cheat girlfriend theyll turn to crazy psychopath,negative
657,am here to support taylor swift she is strong woman true great artist,positive
658,whos here just listening and doesnt care what year it is,positive
659,whos having taylor swift marathon after folklore,neutral
660,know taylor is reading the comments,neutral
661,its been so many years meanwhile im here telling my friends taylor swift is better than blackpink alone,positive
662,my favourite song,positive
663,who heard ex lovers as starbucks lover,neutral
664,if you see this comment you will succeed in live,positive
665,happy new year everyone,positive
666,copied techoblade smh am disliking,negative
667,blank space being single is the best life anyone can have,positive
668,pray anyone reading this will become successful in the future,positive
669,why is this song in my head for years,neutral
670,there goes the maddest woman this town has ever seen she had marvelous time ruining everything,positive
671,when she ment flames she actually meant flams,positive
672,may know why dont get at least like for my comments,neutral
673,am leaving this comment her for the future generations,neutral
674,dont worry youre not the only one who listens to this song in quarantine,neutral
675,this is the best football song that has ever been made,positive
676,pray who ever read this become successful in life,positive
677,lets be honest you obviously searched the song for nostalgia,neutral
678,lets see how many people watching this during quarantine,neutral
679,this song wont die even after or years everyone would remember this song because its felling not song,positive
680,only legends will be listening to this song in september,positive
681,even after years this song is evergreen,positive
682,pray who ever reads this comment becomes successful,positive
683,its crazy how people are still here day ago,positive
684,swear this song ruled the world for while,positive
685,lets see how many people still watching in september,neutral
686,only those people find my comment who lives in earth,neutral
687,lets see how many peaple watching this wolrd cup,neutral
688,this and wavin flag are the best world cup songs no debate,positive
689,this isnt just song its presenting your country,positive
690,if you see this comment in replay,neutral
691,this is the best world cup song ever made in history,positive
692,be honest shakira technically ruled the world for time football shakira world cup emotions but first of all no racism,positive
693,even after decade shakira still has that ability to unite people,positive
694,this is the song that united the whole world for period of time,positive
695,god this was the song that actually got me hyped for the world cup and didnt like soccer at the time,positive
696,like how the comments are still alive after years,positive
697,shakira is basically the voice of the fifa world cup,positive
698,when this song came out didnt have an internet connection at home and had to borrow it from friend on usb and it only seems like yesterday jose is right dele alli listen to him time flies,neutral
699,cant say word how someone can be that talented the queen of harts millions of time watched but still want to,positive
700,how many non spanish people love this song,positive
701,when you recently gave birth to two children but you look better than teenager,neutral
702,who is here after superbowl of,neutral
703,hello am here to confess that shakira has been calling me every night and wants to divorce pique and come to me,negative
704,random people who like this will become millionaire someday,positive
705,my girlfriend said this song sucked now we arent closer,negative
706,the person who like the comment is before the ending of the world,neutral
707,when it was fashionable everything was better,positive
708,lets just hope that this jem will be untouched by tiktok etc its shame how they ruin songs listened to this song back in and still do it now,neutral
709,nostalgia is the best and worst feeling ever,neutral
710,man this song was being played everywhere gosh how time flies,positive
711,thought that this was the original song thought this for my hole life and today found out this is not the original music video lmao,negative
712,this song brings back the memories when we used to listen to it everyday,positive
713,remember being sophomore in high school when this came out now im sophomore in college,neutral
714,know this song is only years old but it feels so old,neutral
715,lot of things happened in the last three years,neutral
716,the fact that this comment section is still active after all these years is epic,neutral
717,this song is actually one of the greatest thing happened to this planet,positive
718,once we listen to one throwback song we go through whole carousel of them,positive
719,too much memories when listening to this song,positive
720,this video is seriously beautiful yall killed it,positive
721,ed sheeran is type of singer who sets you in relationship which you have never been in,positive
722,this song made me remember about my girlfriend when we used to be happy,positive
723,everyone in the comments literally making up stories for attention,negative
724,playing this while youre at the beach dancing with your girlfriend under the moon,positive
725,romantic songs are very healing especially for singles,positive
726,when corona wasnt thing life was just straight beautiful,positive
727,dear stranger who ever reads this may your parents live for more than years,positive
728,wish had girlfriend to sing it to her with my ugly voice haha love test,positive
729,love this song,positive
730,created an imaginary girlfriend and broke up with her just to feel this song,positive
731,just imagine that charlie and mirella in relationship in the real life,neutral
732,am here everyday that now byhearted the whole lyrics wish it was this easy to learn physics derivation,positive
733,all the people who disliked were crying from how good this song is so they accidentally clicked dislike,positive
734,anyone here after they heard the jungkook bts remix,neutral
735,the real crime here is them not charging their phones before they sleep,neutral
736,im driving and im playing this song cuz my girl broke up with me,neutral
737,years later if you watch this song youre officially legend,positive
738,the fact that the scenario shown in this song is reality breaks my heart,positive
739,will be here always because luv my mum,positive
740,if youre here in it means you have great music taste,positive
741,if had voice like anne marie swear will never stop singing,positive
742,its funny how this has over billion views yet clean bandit only just hit million subs,positive
743,she is not just singing she is telling us story,positive
744,miss my middle school days now im at th grade making long essays lol,neutral
745,the sacrifices mothers make for their child to have life better than theirs,neutral
746,dedicated to all single mums true masterpiece clearly representation of mothers love,positive
747,so basically quarantine has bought everyone to old legendary songs,positive
748,remember listening to this like years ago the old days,neutral
749,who just randomly came to this song in august,neutral
750,lets be honest when this song was released life was way simpler,positive
751,not trying to reduce how hard being single mum but please dont forget us single dads too,neutral
752,ive seen so many people using this song in stories without knowing the meaning,negative
753,worth billion wiew song is rare these days,positive
754,what the girl says to her son is what my mom says to me,neutral
755,she isnt shaming shes just telling people that their perfect no matter what also this song is good,positive
756,its crazy how we are listening to these songs again as different people,positive
757,skinny and thick girls are both pretty either way,positive
758,why is meghan so underrated nowadays,negative
759,imagine reading this comment then liking it years later that would be cool think,positive
760,are we not even to talk about how she isnt fat,positive
761,why is no one talking about how this dude just slayed this entire video,neutral
762,this song reminds me of when life was simple just kid living life,positive
763,when in was asked my mum what all about that bass means she said that she was really low singer lol,negative
764,cant we embrace all body types though fat shaming and skinny shaming have equal effect on self esteem,positive
765,never realized how easy it is to notice the lip sync on this song,negative
766,the dancing guy is legendary and ive liked him since was little child lol,positive
767,this song is for and against body shaming at the same time,positive
768,moment of silence for those people who still cant found this masterpiece,positive
769,no matter how many times youve watched this rihanna gets hotter,positive
770,feel like this music is best for model walks,positive
771,rihanna was preparing for fenty beauty and was not having all that desert shit for the music video hence why we have this video,positive
772,im still cannot know why am comback here in,neutral
773,fifth harmony predicted the corona virus pandemic,neutral
774,the random people who will like this will become millionaires in the future,positive
775,boos body is so oily that could make french fries on his chest doe,neutral
776,camila have high voice,positive
777,who knew this song would be pandemic soundtrack,positive
778,everybody wears short and hot outfits and then theres camilla wearing an all day outifit hahaha omg lmao,neutral
779,after seeing normanis body getting my lazy butt up and going to the gym tomorrow and im gonna put in work work workwork,neutral
780,no ones gonna talk about the fact that this has over billion views,neutral
781,here is camila cabello working,neutral
782,my bisexuality is intense in this video,neutral
783,this song still better years after years and even more in this pandemic situation,positive
784,people can refuse to believe that this song is years old,neutral
785,this song hit different in quarantine,positive
786,still cant understand why did the fifth harmony girls are not together especially camila  normani,negative
787,lets see how many people watch this during quarrantine,neutral
788,only camila,neutral
789,perfect anthem for with corona virus everywhere,positive
790,is anybody watching this during work from home,neutral
791,coronavirus just saved yalls lives now he really dont gotta go to work,neutral
792,ok so fifth harmony were knowing about the pandemic this song was years ahead of its time back then they were making us aware of work from home,neutral
793,oh so this is why construction is never finished on time,negative
794,look watch years later people will read these comments and wont know what quarantine was,negative
795,yes am working in home due to covid shit,negative
796,came hare for camila cabelo,positive
797,awe miss fifth harmonyyy,positive
798,this should be the official corona virus theme song regarding what to do when working ill,positive
799,love how none of these comments are from the year it was released,positive
800,no wonder it took long time to finish building my house,neutral
801,its been over years and wonder if they ever finished their job,neutral
802,lets be honest justin bieber owned the world for few days when this song was released,positive
803,having justin moment,positive
804,lets be honest justin bieber owned the world when his song was released,positive
805,after years just noticed that drake was in this video,neutral
806,theres comments if you find mine then you are legend,positive
807,whos watching in but is now not justin bieber fan,negative
808,we made history,neutral
809,im here after seeing disliked of sadak trailar anyone else,neutral
810,dont no why this song has been hated so much there are nostalgia feeling cool clip and music,positive
811,how many think he made this song with wrong girl he looks like he is brother to her,negative
812,dont know why this song got so many dislikes can anyone tell me,neutral
813,for those who were just born welcome justin is already taken now lmao,neutral
814,just came to see how many dislikes he has on the video mil,negative
815,the likes are the girls who couldnt be the girl in the video,negative
816,shall go to church to purify my god damn eyes and ears,negative
817,many people are here to compare babys dislike and sadak dislike,negative
818,dont worry justin sadak trailer will overtake ur dislike record in few days,positive
819,years later if youre still here youre legend,positive
820,if was blind then id probably think it was girl singing this,neutral
821,everyone searching all songs so keep watch song and making them new,neutral
822,song that we once hated has now become nostalgic memory time flies by,positive
823,literally here just to check the dislikes again,negative
824,this was beautifully creepy,neutral
825,the choreographer should be listed,neutral
826,the girl in this music video is soo underrated like the way she danced tho was just complete talent,negative
827,this proves that humans are more flexible then you think,neutral
828,remember watching this as kid and wondering why maddie was naked,neutral
829,if sang like sia would never shut up,positive
830,this is what happens when your parents leave at home without wifi,neutral
831,this little girls parents and teachers must be the most proud people in the world know shit about ballet dancing but she is amazing,positive
832,have anyone realise that this little girl is from the show abby lee,neutral
833,maddie was so mature for her age sia voice is so younger than her age mix them together and have mona lisa masterpiece,positive
834,who when this song first came out thought she was naked,neutral
835,this is what can happen when you start dance lessons at years old,neutral
836,my sister used to be scared of this video when she was like,neutral
837,the song spoiled rich kid sings about when she messes up the house,neutral
838,cant afford chandelier simple lamp shade isnt the same,neutral
839,this is literally the only song that am not too busy to watch,positive
840,here in quarantine just remembering my childhood music,positive
841,when you were kid playing make believe while being home alone,neutral
842,the fact that there are still comments from minutes ago is so heartwarming,positive
843,for second thought she was naked,negative
844,only people who didnt come from tiktok can like this comment,neutral
845,well money is not everything but am really feeling guilty to have watched this awesome performance for free no matter how much we appreciate it will never be enough hats off to sia maddie ziegle,positive
846,whenever have heard this song thought the hard past,positive
847,she is so special,positive
848,her act is priceless,positive
849,the fact that this has less likes than bad guy scares me,negative
850,who else is just listening to old songs due to quarentine,neutral
851,the symbolism in this song is beyond words this song makes you realize that we all have demons in our lives some more than others but we all have them,positive
852,sias voice really evolved into something powerful and unique since her zero days,positive
853,shes so hot and im obsessed with her voice,positive
854,man youtube is the closest thing weve got to time machine,neutral
855,dua lipa is everything,positive
856,still hit,positive
857,everything complete is equal to and surpasses everything complete everything agreement,positive
858,need dua lipa and anne marie together in song,neutral
859,am so poor that cant get hot girls like this,negative
860,her friends are trying to help her because of their experiences,positive
861,whoever is watching this in september youre gonna be blessed,positive
862,one,neutral
863,im searching for rhis song after found no music version,positive
864,lets be honest this wasnt in your recommendation you intentionally searched for it,neutral
865,women supporting women im in,positive
866,ah yes the music that hear when im with my mom in the clothing store,positive
867,why do keep hearing someone joining sound effects from discord,positive
868,am not that english comment you searching for but anyways have nice day,positive
869,hope people realize how good this song really is,positive
870,after years still if you are watching this then you are legend,positive
871,this was not in your recommend you searched it,neutral
872,this song has part of the lyrics that gives me chills and makes me sad,positive
873,searched romantic songs this song is recommended,positive
874,throwback when we were to innocent to understand shades of gray,neutral
875,searched romantic songs this song recommended me,positive
876,this song makes you feel in love even if youre not,positive
877,was crying because miss my friends during this quarantine,positive
878,only people who dont come from tiktok can like this comment,negative
879,just got suddenly remembered and searched for it,positive
880,just need everything to stop hate my life it hurts lot,negative
881,the love of my life my best friend just sent this song to me,positive
882,pray whoever reads this becomes successful one day,positive
883,years after if youre watching this youre legend,positive
884,guessed searched for this song it never pops up in recommended,positive
885,this is like one of ellies best songs she is very talented,positive
886,five years ago my future looked different than today,neutral
887,im not here because of quarantine im here because this song is the colour of my blood,positive
888,okay knew saw them somewhere this is from fifty shades of grey,positive
889,fifty shades of grey is thousand times better than days,positive
890,who else is listening to this but is single,positive
891,theres person who listen this song with you in march is me,positive
892,yes,neutral
893,everyones gangster until they know the meaning of the song,negative
894,this girl is so lucky,positive
895,hailey probably hates this music video for the action in this,negative
896,while theres the coronavirus we listen to this song,neutral
897,random people who like this will one day see justin bieber live,neutral
898,wanna see my comment in year time just to see if im maybe more relevant by than,positive
899,yummy is nothing compared to this song,positive
900,the whole time im just thinking what his wife thinks about this,neutral
901,this is when everyone starting respecting bieber,positive
902,like if you watch this in corona time,neutral
903,who is here after yummy remembering epic songs of him,positive
904,lets see how many people watching this song during quarantine,neutral
905,the one who likes this comment will be millionaire in the future,positive
906,just imagine how many people come here every second,neutral
907,think as girlfriend would be really mad that he made me go through that,negative
908,just imagine how much people come here everyday,neutral
909,think this song talks about justin and selenas relationship with illuminati,negative
910,this was such better comeback song than yummy damn,positive
911,who just randomly came to this song in september,neutral
912,sadly we lost that era miss so much,positive
913,congratulation you found an english comment,positive
914,this video than song billion views crossing,positive
915,ive been listening to this song over and over that its not healthy,negative
916,dont worry you are not the only one listening to this in september,neutral
917,eminem is going to be the first rapper to reach one billion views on youtube lol still breaking records,positive
918,can never listen to this enough love it,positive
919,this song is years old we never left we just loved this song for years,positive
920,who agrees they cant believe that there are kids that are younger then this song,neutral
921,was so sad to lose eminem to trump derangement syndrome,negative
922,feel sorry for people who grew up on gucci gang,positive
923,nostalgia,positive
924,cant believe this was made before rap god,positive
925,eminem and rihanna collab is the only option to save the world,positive
926,random people who like this will be millionaire some day,positive
927,eminem still stays as the greatest rapper of all time,positive
928,lets be honest this song didnt come up in our recommendations we searched for it,neutral
929,more than million views and comments and still counting after years,neutral
930,this song remind me to my chillhood so sad because time has passed,positive
931,it took so many years for me to realize that was megan fox,neutral
932,feeling weird cause after decade just discovered the girl in the video is megan fox,negative
933,megan fox is just as beautiful now as she was years ago,positive
934,miss how easy life was when this came out,neutral
935,pray who ever reads this you will meet eminem,positive
936,this song hits so strong after all these years that have passed,positive
937,my girlfriend said this song sucked now love the way she lie,positive
938,imagine if rihanna and eminem collaborated once again just imagine,neutral
939,the fact that my earliest memory was in when was years old makes me realize how fast time flies im and th grade,neutral
940,take me back when rapping was meaningful,positive
941,god life was easy then takes me back to sunny days with friends in the park,positive
942,eminem is rapper whose fans cant sing with him at concerts,positive
943,there is reason why there is billion views and the likes dominate dislikes,negative
944,everyones here cause no one can stop listening this song,positive
945,eminem is the best rapper,positive
946,eminem  rihanna still better combo than peanut butter and jelly,positive
947,the fact is this comment section is still active after years lit,neutral
948,the nostalgia is gonna make me cry,positive
949,eminem rap is more faster than my internet connection,positive
950,who came here just to hear the legend eminem,neutral
951,that guy has such cute nose,positive
952,amazing that there are comments right minutes ago,positive
953,im glad eminem was the first rapper to hit billion,positive
954,lets see who is here in september,neutral
955,talk about trendy beats and song like this song more than despacito,positive
956,almost years later if you watch this youre officially legend,positive
957,this songs have many latin fans like if youre not latin,neutral
958,the greatest achievement this quarantine is listen the luis fonsi songs,positive
959,man youtube is the thing closest weve got to time machine,neutral
960,at the end of the world and listening to this masterpiece,positive
961,who is listening to this song in left like,neutral
962,guess can sing this song only when im home alone lol,positive
963,have not listen to this song for long time but finally found it,positive
964,guess im the second guy here at september,neutral
965,excellent song luis and demi very good duo,positive
966,that random person who liked my comments may you and your parents live more than years,positive
967,when she started speaking english thought was understanding spanish,positive
968,who hear this song in free time for relaxing his mood and keep him always fresh,positive
969,latin song make me feel relax you can make dance with it,positive
970,am the only one who is going around good old music like if you are too,positive
971,the fact that this song is years old astonishes me it honest feels like yesterday,neutral
972,rip legend,neutral
973,is no one going to talk about the fact that she left that little girl home alone sleeping like bruh,negative
974,this song is almost like channel trailer basically saying everyone is welcome,positive
975,rest in peace legend,positive
976,hi tim its youll be this year and im still wishing you happy birthday youre sorely missed,positive
977,lve seen that little girls picture before just dont recall where exactly,neutral
978,the best dj ever miss you so much your music is like water to me cant live without it,positive
979,does the girl have an instagram account id like to follow her,neutral
980,todays is aviciis birthday happy birthday we miss,positive
981,this song has to much meaning that we have be inside to understand what the lyrics mean,positive
982,the dislikes are the people who disliked aviciis death,neutral
983,with quarantine this song has aged like fine wine,neutral
984,most relatable song for everyone in this world during the pandemic,positive
985,still there,positive
986,funny how this comment section is alive after almost whole decade,neutral
987,this is lazy song but this song actually gives me energy,positive
988,im gonna tell my kids that this clip was made during the quarantine,positive
989,this song just sums up what we are doing in this quarantine,positive
990,this song is literally describing everyones life right now,positive
991,imagine we go extinct and this is the only proof we existed,positive
992,no matter how old this song gets it still jam,positive
993,never thought bruno mars would predict the future,positive
994,bruno mars isnt the second michael jackson hes the first bruno mars,positive
995,me laying in my bed listen to this song,neutral
996,the start hit me like bag of rocks,positive
997,literally havent vibed to this song since it first came out and was dancing to it with my friends,positive
998,oh hey there everyone that just randomly decided to listen to this song years later,positive
999,quarantine made old songs popular again,positive
1000,when have homework and bored,neutral
1001,wow time does fly was freshman in high school when this came out now im,neutral
1002,kids who have no school due to coronavirus can relate to this song,positive
1003,all the dislikes are from the people whose girlfriends broke up with them because they couldnt treat them better than shawn,neutral
1004,listen to this song almost every day this is going to be my permanent favourite song,positive
1005,everybody is gangster until they know the meaning of this song,positive
1006,back in the days when the corona virus didnt exist good time,neutral
1007,imagine choosing that wimp over shawn,neutral
1008,literally cant stop listening to this song always replay it whenever the song ends love all the songs that shawn mendes sang till now,positive
1009,if you here in that means you have musical taste,positive
1010,basically the story of every simp willing to give everything to their queen but get rejected,neutral
1011,im screaming everything is so on point,positive
1012,when all the smart people on class grouped up on the final project,positive
1013,omg selena gomez spanish part was soo gorgeous,positive
1014,taki taki is the only word in this song that can speak,neutral
1015,selenas part just hit different,positive
1016,the only one who doesnt understand most of lyrics but listen multiple times normal or not,neutral
1017,this song never gets old,positive
1018,in my opinion selena killed more when she started speaking in spanish,positive
1019,years later if you still watching this youre officially legend,positive
1020,dont kbow the lyrics but the beat is the best one have heard,positive
1021,it took me an hour searching for this song,neutral
1022,the like button proves that there are lots of people who speak english,neutral
1023,why are latin songs so addicted,positive
1024,this is how people around the world will act when corona ends,neutral
1025,everyone was shuffling when this song came out,positive
1026,this is gonna be the streets on new years when is gone,positive
1027,back when guys would wear skinny jeans that looked like they were meant for girls,neutral
1028,you are done with school and this song is playing no stress no worries and no pandemic is going on you simply sit back relax and enjoy the song,positive
1029,this song made everyone in grade school hyped even if they were having the worst day,positive
1030,the people shuffiling and spreading it is how corona is spreading,neutral
1031,mybe after the covid the world will start dance like that,positive
1032,this song was all over everywhere back in the day,positive
1033,this is gonna be everyone after the corona virus pandemic is over,positive
1034,watch theyre gonna predict october,neutral
1035,kids nowadays would never understand the impact this songs had on us when it first came out,positive
1036,this brings back serious memories of being like sitting on the floor and listening to this song on the tv,neutral
1037,who here remembers the good memories and then think of this song this is still amazing years later and will always be legendary,positive
1038,after the pandemic this song would be the song of century lol,positive
1039,legend says they are still shuffling till this day,positive
1040,youtube is the closest thing we will ever get to time machine,neutral
1041,so this is how the covid vaccine will be distributed,neutral
1042,they made the best song of the decade and just disappeared,positive
1043,these guys straight up made hits songs and then dipped,positive
1044,years later still know all the lyrics anyone else or just me,positive
1045,some legend says that they still shuffelin til this day non stop in the street,positive
1046,years later finally understand the days later reference,positive
1047,kids born in wouldnt understand the nostalgia of this song,neutral
1048,this is one of the biggest nostalgia tracks of the century,positive
1049,billion views and years later this is still hit,positive
1050,this song ruled the world for good while,positive
1051,legends says that they still shufling,positive
1052,reminds me of that key and peele skit,positive
1053,you know its good party when you see jesus in it,positive
1054,remember being little and just be jamming out to this song in my room,positive
1055,did anyone notice lauren didnt get her own part,neutral
1056,honestly cant believe nobody is talking about how absolutely gorgeous camila looks in that suit like dann girl,positive
1057,your enjoying to this song without realizing lauren dont have any lines here,neutral
1058,in my humble opinion laurens part is without doubt the best,positive
1059,really dont know why im waching this at good memories,positive
1060,it took me years to realise that camila isnt wearing tie its her skin,neutral
1061,anyone else in listening this song so beautiful that touch deeply the heart of people,neutral
1062,people am not fifth harmony fan im mixers just visiting and love the battle salute vs worth it,positive
1063,when this song came out was and absolutely secure that dinah and beyonce were the same person,neutral
1064,random people who like this become millionaire someday,positive
1065,this song will never gets old,positive
1066,deny the fact that this song is year old,neutral
1067,think laurens part is the best and she nailed it anyway,positive
1068,you barely hear lauren in the song tbh,negative
1069,oh my god havana camila cabello is so good,positive
1070,why they are try so hard to look sexy exepct camila,negative
1071,really wanna see hope reacting to this song,neutral
1072,think im the only one whos searching for subtitles,neutral
1073,im from pakistan dont understand the words but the music is awesome,positive
1074,she is an actress besides singer love the videos,positive
1075,the people who dislike this song dont have adolescense,positive
1076,cant believe almost forgot about this song,neutral
1077,havent listened to this song in years and still remember the lyrics,positive
1078,im gonna ask for marriage to my girlfriend and his father hates me wish me luck,neutral
1079,years old and still slaps like it was poster yesderday,neutral
1080,say yes say yes,neutral
1081,quarantine brought me here im seriously run out of songs to hear,positive
1082,hearing this remind me when was kid playing game with my friend,positive
1083,the song is still cool after so many years,positive
1084,its been years and he still hasnt said yes but he married her anyway,neutral
1085,years later when youre watchint this youre legend,positive
1086,omg the nostalgia remember listening to this everyday when was like fiveee and remember matty singing this hahahaha,positive
1087,need rude where he makes the father to say yes,positive
1088,this song will never get old,positive
1089,moment of silence for the people who still cant find this song,neutral
1090,oh this is such nostalgic song this played on the speaker when my swimming lesson were on haha,positive
1091,wish can find love so deep like theirs,positive
1092,this is the song play while playing minecraft lol,positive
1093,havent listened to this song in yeras and still remember lyrics,positive
1094,this song is so good its rude love from indonesia,positive
1095,dont ever ask who is still listening to this in because we never stop listening to it,neutral
1096,miss the days when this song would play on the radio every single minutes,neutral
1097,didnt know kylo ren got problem with being rude,negative
1098,havent heard this song for years wow,neutral
1099,years and this song is still one of my favorites and everyone who keeps listening to it knows what good music is,positive
1100,the nostalgia of this song physically hurts,negative
1101,this song proves how easy it is to be one hit wonder,positive
1102,still memorize this song after many years,positive
1103,next up on my nostalgic music lapse is we are young,positive
1104,this song is for kids teens and adults thats why love this so much,positive
1105,dj the chainsmokers is band coldplay song somenthing just like this,neutral
1106,well the chainsmokers definitely have signature sound guess,positive
1107,this song makes me feel that can do everything seriously,positive
1108,pray who ever reads this becomes successful in every field of life,positive
1109,nobody too old or too young to hear this song,positive
1110,pray whoever likes this will have good luck for the next years,positive
1111,if chainsmokers and coldplay had song together that would be something just like this,positive
1112,wait no who cares what time your watching your always legend,positive
1113,this song went viral before its uploaded,positive
1114,use to think it said batman wants kiss looking back was weird kid,negative
1115,bruh this song is just unforgettable,positive
1116,hearing this song brongs smile to my face so naturally like if it does yours too,positive
1117,when we were children we always wanted to grow up but once we grew up we wished to be kid again,neutral
1118,this song can be relationship friend song,positive
1119,chain smokers need to return they could literally save,neutral
1120,no matter how many times you repeatedly listen to this song its still so good,positive
1121,tony didt go he lives in my heartforever,positive
1122,listening to this song late at night feels so good,positive
1123,one of those rare good mainstream songs,positive
1124,cant imagine am not the only one listening to this song today,neutral
1125,the chainsmokrs  coldplay something just like this,positive
1126,edited my comment so you wouldnt know how did get so many likes,neutral
1127,be honest this didnt show up in your recommendation you searched for it,neutral
1128,as every dj and singer goes bad marsmello always gets better this is the difference of marsmello,negative
1129,we all agree that this song is magic would like you to create an alone or similar marshmello you inspire me to continue creating electro music,positive
1130,if you think that just you listen to this song you have big mistake,neutral
1131,cant believe that people dont like this song they should be amazed by mashmello,positive
1132,this song is just one of the few things we could bring with ourselves into that can at least put smile on our faces or make cus vibe through this painful time,positive
1133,how to start cult in high school,neutral
1134,watching this song again makes me want to go back to the mellogang,neutral
1135,it takes just one song to turn you into legend,positive
1136,but the fortnight event or this prefer the real song,positive
1137,if you feel alone get yourself to the rick astley never gonna give you up and watch it,positive
1138,everybody gangsta til they suffocate from wearing bags,neutral
1139,this is marshmellos best song ever,positive
1140,those guys who gave dislike are the one who are bullies,negative
1141,can relate to this,positive
1142,really got emotional when searched this up beacuse when was small me and big brother draw marshmello and also dance,positive
1143,only people here before bil can like this,neutral
1144,remember when she was just cute little cat valentine,positive
1145,whoever did aris makeup and hair needs like serious paycheck raise cuz they killed it,positive
1146,refuse to believe this is years old would listen to repeat all day,positive
1147,curry with the shot just tell em to call me stephanie,neutral
1148,this is not the girl that used to watch as kid,negative
1149,when nicki first showed up it look liked someone farted next to her,negative
1150,remember when everyone went crazy when this song came out damn time flys,positive
1151,still dont get what is happening in this video,negative
1152,and this is what call timeless pop hit,positive
1153,people come here to see nikis amazing rap,positive
1154,sexy song my girlfriend vanessa does it freaking sexy,negative
1155,yes what does he think of him,neutral
1156,mans got arrested and his nudes leakedfeels bad man,negative
1157,this dude just got arrested and his nudes got leaked on twitter man really went downhill after this song,negative
1158,am the only one who still love himlike idgaf if his nudes leaked or not,positive
1159,seriously feel bad for silento no one hit wonder has got bullied to the extent he did yeah the song isnt great but would get tired of everyone left and right calling me one hit wonder,negative
1160,maybe he was just trying to steal bussy repair kit,negative
1161,damn why does this guy looks so alike the scrunchie man oh wonder why,negative
1162,oh my god remember when this guy was relevant this was so dumb,negative
1163,remember this guy was on nickelodeon,neutral
1164,he was sticking it in like it was nothing,negative
